rank,ticker,name,mentions,upvotes,rank_24h_ago,mentions_24h_ago,capture_date
101,PACW,PacWest Bancorp,2,8,106,3,2023-07-23 16:58:54.996227
102,ED,Consolidated Edison,2,3,852,1,2023-07-23 16:58:54.996227
103,WB,Weibo,2,9,858,1,2023-07-23 16:58:54.996227
104,VUG,"Vanguard Group, Inc. - Vanguard Growth ETF",2,5,880,1,2023-07-23 16:58:54.996227
105,DFLI,Dragonfly Energy,2,4,911,1,2023-07-23 16:58:54.996227
106,SCHG,Schwab Strategic Trust - CSIM Schwab U.S. Large-Cap Growth ETF,2,15,920,1,2023-07-23 16:58:54.996227
107,GT,Goodyear,1,7,927,,2023-07-23 16:58:54.996227
108,EDIT,Editas Medicine,1,0,153,1,2023-07-23 16:58:54.996227
109,HOUR,Hour Loop,1,9,154,1,2023-07-23 16:58:54.996227
110,TMUS,T-Mobile US,1,1,0,,2023-07-23 16:58:54.996227
111,DOCN,DigitalOcean,1,2,156,1,2023-07-23 16:58:54.996227
112,SOFI,SoFi,1,1,158,1,2023-07-23 16:58:54.996227
113,NET,Cloudflare,1,1,159,1,2023-07-23 16:58:54.996227
114,BBIG,Vinco Ventures,1,2,160,1,2023-07-23 16:58:54.996227
115,NICE,NICE,1,3,0,,2023-07-23 16:58:54.996227
116,SLB,Schlumberger,1,0,161,1,2023-07-23 16:58:54.996227
117,DISH,Dish Network,1,1,162,,2023-07-23 16:58:54.996227
118,DAL,Delta Air Lines,1,2,163,1,2023-07-23 16:58:54.996227
119,NEGG,Newegg,1,5,115,1,2023-07-23 16:58:54.996227
120,EVER,EverQuote,1,2,164,,2023-07-23 16:58:54.996227
121,ATR,AptarGroup,1,1,165,1,2023-07-23 16:58:54.996227
122,ETRN,Equitrans Midstream,1,1,150,,2023-07-23 16:58:54.996227
123,PAC,Grupo Aeroportuario del Pacífico,1,1,166,1,2023-07-23 16:58:54.996227
124,DNR,Denbury,1,0,0,,2023-07-23 16:58:54.996227
125,OC,Owens Corning,1,3,168,,2023-07-23 16:58:54.996227
126,FROG,Jfrog,1,5,169,1,2023-07-23 16:58:54.996227
127,BC,Brunswick Corporation,1,2,170,1,2023-07-23 16:58:54.996227
128,FM,BlackRock Institutional Trust Company N.A. - BTC iShares MSCI Frontier,1,3,0,,2023-07-23 16:58:54.996227
129,UAL,United Airlines Holdings,1,3,174,1,2023-07-23 16:58:54.996227
130,HBAN,Huntington Bancshares,1,1,175,1,2023-07-23 16:58:54.996227
131,OMAB,Grupo Aeroportuario Centro Norte,1,2,177,1,2023-07-23 16:58:54.996227
132,CPA,Copa Holdings,1,2,74,2,2023-07-23 16:58:54.996227
133,MSM,MSC Industrial Direct,1,1,178,1,2023-07-23 16:58:54.996227
134,EXP,Eagle Materials,1,6,982,,2023-07-23 16:58:54.996227
135,MC,Moelis &amp; Company,1,1,179,,2023-07-23 16:58:54.996227
136,GTLB,GitLab,1,2,180,1,2023-07-23 16:58:54.996227
137,FANG,Diamondback Energy,1,3,181,1,2023-07-23 16:58:54.996227
138,ENVX,Enovix,1,8,183,1,2023-07-23 16:58:54.996227
139,CLOV,Clover Health Investments,1,0,184,1,2023-07-23 16:58:54.996227
140,SPXL,Direxion Shares ETF Trust - Direxion Daily S&P 500 Bull 3X Shares,1,1,87,3,2023-07-23 16:58:54.996227
141,IIPR,Innovative Industrial,1,1,186,1,2023-07-23 16:58:54.996227
142,XLU,SSgA Active Trust - SSgA Utilities Select Sector SPDR,1,2,187,1,2023-07-23 16:58:54.996227
143,VXX,iPath S&amp;P 500 VIX Short-Term Futures,1,1,188,1,2023-07-23 16:58:54.996227
144,MDLZ,Mondelez,1,4,189,1,2023-07-23 16:58:54.996227
145,OLB,OLB Group,1,12,182,1,2023-07-23 16:58:54.996227
146,HPK,HighPeak Energy,1,2,190,1,2023-07-23 16:58:54.996227
147,BLX,Banco Latinoamericano de Comercio Exterior,1,1,191,1,2023-07-23 16:58:54.996227
148,HBM,Hudbay Minerals,1,1,192,1,2023-07-23 16:58:54.996227
149,TT,Trane Technologies,1,2,193,1,2023-07-23 16:58:54.996227
150,LUMN,Lumen,1,3,0,,2023-07-23 16:58:54.996227
151,XLF,SSgA Active Trust - SSgA Financial Select Sector SPDR,1,1,194,1,2023-07-23 16:58:54.996227
152,CEIX,CONSOL Energy,1,1,116,1,2023-07-23 16:58:54.996227
153,HERO,Global X Funds - Global X Video Games & Esports ETF,1,1,195,1,2023-07-23 16:58:54.996227
154,WTI,W&amp;T Offshore,1,4,185,1,2023-07-23 16:58:54.996227
155,CFLT,Confluent,1,2,196,1,2023-07-23 16:58:54.996227
156,NTR,Nutrien,1,0,198,,2023-07-23 16:58:54.996227
157,SAM,Boston Beer Company,1,2,199,1,2023-07-23 16:58:54.996227
158,ADP,Automatic Data Processing,1,4,200,1,2023-07-23 16:58:54.996227
159,PCTY,Paylocity,1,1,201,1,2023-07-23 16:58:54.996227
160,QS,QuantumScape,1,1,202,1,2023-07-23 16:58:54.996227
161,SB,Safe Bulkers,1,1,203,1,2023-07-23 16:58:54.996227
162,PSR,Invesco Capital Management LLC - Invesco Active U.S. Real Estate ETF,1,12,197,1,2023-07-23 16:58:54.996227
163,HP,Helmerich &amp; Payne,1,5,538,,2023-07-23 16:58:54.996227
164,GB,Global Blue Group,1,7,206,1,2023-07-23 16:58:54.996227
165,NXE,NexGen Energy,1,4,207,1,2023-07-23 16:58:54.996227
166,SSD,Simpson Manufacturing Company,1,3,208,,2023-07-23 16:58:54.996227
167,WES,Western Midstream,1,1,209,1,2023-07-23 16:58:54.996227
168,LOVE,LoveSac,1,1,210,1,2023-07-23 16:58:54.996227
169,DC,Dakota Gold,1,3,211,1,2023-07-23 16:58:54.996227
170,HOPE,Hope Bancorp,1,2,634,,2023-07-23 16:58:54.996227
171,BITO,ProShares Bito,1,1,0,,2023-07-23 16:58:54.996227
172,TOWN,TowneBank,1,3,214,1,2023-07-23 16:58:54.996227
173,PTEN,Patterson-UTI Energy,1,1,216,1,2023-07-23 16:58:54.996227
174,SIG,Signet Jewelers,1,1,217,1,2023-07-23 16:58:54.996227
175,LYFT,Lyft,1,1,218,1,2023-07-23 16:58:54.996227
176,ZS,Zscaler,1,2,219,1,2023-07-23 16:58:54.996227
177,AIN,Albany International,1,7,220,1,2023-07-23 16:58:54.996227
178,SVXY,ProShares Trust - ProShares Short VIX Short-Term Futures ETF,1,1,213,1,2023-07-23 16:58:54.996227
179,RTX,Raytheon Technologies,1,1,119,1,2023-07-23 16:58:54.996227
180,EW,Edwards Lifesciences,1,1,0,,2023-07-23 16:58:54.996227
181,ODD,ODDITY Tech,1,0,225,1,2023-07-23 16:58:54.996227
182,RACE,Ferrari,1,2,0,,2023-07-23 16:58:54.996227
183,DV,DoubleVerify,1,6,218,1,2023-07-23 16:58:54.996227
184,BLK,BlackRock,1,12,227,1,2023-07-23 16:58:54.996227
185,CHEF,The Chefs' Warehouse,1,6,229,1,2023-07-23 16:58:54.996227
186,WINA,Winmark,1,2,230,1,2023-07-23 16:58:54.996227
187,RCL,Royal Caribbean,1,2,231,1,2023-07-23 16:58:54.996227
188,T,AT&T,1,2,232,1,2023-07-23 16:58:54.996227
189,RGR,"Sturm, Ruger &amp; Co",1,4,233,1,2023-07-23 16:58:54.996227
190,FERG,Ferguson,1,1,0,,2023-07-23 16:58:54.996227
191,ADBE,Adobe,1,2,235,1,2023-07-23 16:58:54.996227
192,RIO,Rio Tinto,1,5,236,1,2023-07-23 16:58:54.996227
193,VIOV,"Vanguard Group, Inc. - Vanguard S&P Small-Cap 600 Value ETF",1,3,0,,2023-07-23 16:58:54.996227
194,EA,Electronic Arts,1,2,239,1,2023-07-23 16:58:54.996227
195,ARGT,Global X Funds - Global X MSCI Argentina ETF,1,0,0,,2023-07-23 16:58:54.996227
196,CAT,Caterpillar,1,1,240,1,2023-07-23 16:58:54.996227
197,CNQ,Canadian Natural Resources,1,3,234,1,2023-07-23 16:58:54.996227
198,ITOT,BlackRock Institutional Trust Company N.A. - BTC iShares Core S&P Tota,1,1,241,1,2023-07-23 16:58:54.996227
199,CHPT,ChargePoint,1,2,242,1,2023-07-23 16:58:54.996227
200,TSE,Trinseo,1,1,989,,2023-07-23 16:58:54.996227
201,SEEL,Seelos Therapeutics,1,1,243,1,2023-07-23 16:58:54.996227
202,LUV,Southwest Airlines,1,1,244,1,2023-07-23 16:58:54.996227
203,AA,Alcoa,1,2,54,6,2023-07-23 16:58:54.996227
204,TEAM,Atlassian,1,0,245,1,2023-07-23 16:58:54.996227
205,VONG,"Vanguard Group, Inc. - Vanguard Russell 1000 Growth Index ETF",1,2,246,1,2023-07-23 16:58:54.996227
206,PXD,Pioneer Natural Resources,1,3,241,1,2023-07-23 16:58:54.996227
207,INT,World Fuel Services,1,2,247,1,2023-07-23 16:58:54.996227
208,CAR,Avis Budget Group,1,9,249,1,2023-07-23 16:58:54.996227
209,IVV,iShares Core S&amp;P 500,1,2,250,1,2023-07-23 16:58:54.996227
210,WM,Waste Management,1,4,120,1,2023-07-23 16:58:54.996227
211,PBS,Invesco Capital Management LLC - Invesco Dynamic Media ETF,1,0,251,1,2023-07-23 16:58:54.996227
212,RIDE,Lordstown Motors,1,5,0,,2023-07-23 16:58:54.996227
213,VRSN,VeriSign,1,4,246,1,2023-07-23 16:58:54.996227
214,LAB,Standard BioTools,1,1,253,,2023-07-23 16:58:54.996227
215,NVO,Novo Nordisk,1,1,254,1,2023-07-23 16:58:54.996227
216,DRV,Direxion Shares ETF Trust - Direxion Daily Real Estate Bear 3X Shares,1,1,0,,2023-07-23 16:58:54.996227
217,TPL,Texas Pacific Land Trust,1,3,252,1,2023-07-23 16:58:54.996227
218,ROLL,RBC Bearings,1,6,258,1,2023-07-23 16:58:54.996227
219,RBT,Rubicon Technologies,1,3,259,1,2023-07-23 16:58:54.996227
220,KW,Kennedy Wilson,1,7,256,1,2023-07-23 16:58:54.996227
221,YANG,Direxion Shares ETF Trust - Direxion Daily FTSE China Bear 3X Shares,1,1,0,,2023-07-23 16:58:54.996227
222,MPC,Marathon Petroleum,1,3,260,1,2023-07-23 16:58:54.996227
223,REAL,The RealReal,1,4,265,1,2023-07-23 16:58:54.996227
224,JD,Jingdong Mall,1,2,266,1,2023-07-23 16:58:54.996227
225,UAN,CVR Partners,1,1,263,1,2023-07-23 16:58:54.996227
226,MTG,MGIC Investment,1,3,267,1,2023-07-23 16:58:54.996227
227,CF,CF Industries,1,4,268,1,2023-07-23 16:58:54.996227
228,ABC,AmerisourceBergen,1,8,269,,2023-07-23 16:58:54.996227
229,GBCI,Glacier Bancorp,1,1,0,,2023-07-23 16:58:54.996227
230,ASO,Academy Sports,1,2,270,,2023-07-23 16:58:54.996227
231,MUSA,Murphy USA,1,3,271,1,2023-07-23 16:58:54.996227
232,LOGI,Logitech,1,6,272,1,2023-07-23 16:58:54.996227
233,RUM,Rumble,1,2,273,1,2023-07-23 16:58:54.996227
234,XLK,SSgA Active Trust - SSgA Technology Select Sector SPDR,1,2,274,1,2023-07-23 16:58:54.996227
235,DFS,Discover Financial Services,1,1,276,1,2023-07-23 16:58:54.996227
236,GD,General Dynamics,1,1,277,1,2023-07-23 16:58:54.996227
237,VUZI,Vuzix,1,1,275,1,2023-07-23 16:58:54.996227
238,CORN,"Teucrium Trading, LLC - Teucrium Corn Fund",1,2,278,1,2023-07-23 16:58:54.996227
239,TTWO,Take 2 Interactive,1,3,485,,2023-07-23 16:58:54.996227
240,THC,Tenet Healthcare,1,2,281,1,2023-07-23 16:58:54.996227
241,COLB,Columbia Bank,1,1,0,,2023-07-23 16:58:54.996227
242,SOXL,Direxion Shares ETF Trust - Direxion Daily Semiconductor Bull 3X Share,1,5,282,,2023-07-23 16:58:54.996227
243,NIO,NIO,1,1,121,1,2023-07-23 16:58:54.996227
244,ASB,Associated Banc-Corp,1,2,285,1,2023-07-23 16:58:54.996227
245,DRIP,Direxion Shares ETF Trust - Direxion Daily S&P Oil & Gas Exp. & Prod.,1,9,286,1,2023-07-23 16:58:54.996227
246,FTEC,Fidelity Covington Trust - Fidelity MSCI Information Technology Index,1,0,287,1,2023-07-23 16:58:54.996227
247,RAD,Rite Aid,1,1,289,1,2023-07-23 16:58:54.996227
248,UI,Ubiquiti,1,2,290,1,2023-07-23 16:58:54.996227
249,AZZ,AZZ,1,1,291,1,2023-07-23 16:58:54.996227
250,ELF,e.l.f. Cosmetics,1,1,292,1,2023-07-23 16:58:54.996227
251,TXN,Texas Instruments,1,5,293,1,2023-07-23 16:58:54.996227
252,WOLF,Wolfspeed,1,3,294,1,2023-07-23 16:58:54.996227
253,AX,Axos Financial,1,3,729,,2023-07-23 16:58:54.996227
254,AUB,Atlantic Union Bankshares,1,1,0,,2023-07-23 16:58:54.996227
255,TTOO,T2 Biosystems,1,5,296,1,2023-07-23 16:58:54.996227
256,OSA,ProSomnus,1,2,299,1,2023-07-23 16:58:54.996227
257,NE,Noble Corporation,1,3,614,,2023-07-23 16:58:54.996227
258,AMR,Alpha Metallurgical Resources,1,2,301,1,2023-07-23 16:58:54.996227
259,NXPI,NXP Semiconductors,1,1,0,,2023-07-23 16:58:54.996227
260,BJ,BJ's Wholesale Club,1,5,302,1,2023-07-23 16:58:54.996227
261,ONEQ,Fidelity Covington Trust - Fidelity Nasdaq Composite Index Tracking St,1,1,303,1,2023-07-23 16:58:54.996227
262,AAA,Listed Funds Trust - AAF First Priority CLO Bond ETF,1,3,0,,2023-07-23 16:58:54.996227
263,VIOO,"Vanguard Group, Inc. - Vanguard S&P Small-Cap 600 ETF",1,1,304,1,2023-07-23 16:58:54.996227
264,AHI,Advanced Human Imaging,1,2,306,1,2023-07-23 16:58:54.996227
265,MCD,McDonald,1,1,122,1,2023-07-23 16:58:54.996227
266,LLY,Eli Lilly,1,1,307,1,2023-07-23 16:58:54.996227
267,DSP,Viant Technology,1,4,0,,2023-07-23 16:58:54.996227
268,TMO,Thermo Fisher Scientific,1,1,0,,2023-07-23 16:58:54.996227
269,VZ,Verizon,1,0,29,9,2023-07-23 16:58:54.996227
270,BK,Bank of New York Mellon,1,1,309,1,2023-07-23 16:58:54.996227
271,KDP,Keurig Dr Pepper,1,2,312,1,2023-07-23 16:58:54.996227
272,BV,BrightView,1,4,0,,2023-07-23 16:58:54.996227
273,AMGN,Amgen,1,1,313,1,2023-07-23 16:58:54.996227
274,CIFR,Cipher Mining,1,11,314,1,2023-07-23 16:58:54.996227
275,QCOM,QUALCOMM,1,2,315,1,2023-07-23 16:58:54.996227
276,WD,Walker &amp; Dunlop,1,0,316,1,2023-07-23 16:58:54.996227
277,VYM,"Vanguard Group, Inc. - Vanguard High Dividend Yield Indx ETF",1,1,185,,2023-07-23 16:58:54.996227
278,DHR,Danaher,1,1,0,,2023-07-23 16:58:54.996227
279,DHI,D. R. Horton,1,1,317,1,2023-07-23 16:58:54.996227
280,DQ,DAQO New Energy,1,2,318,1,2023-07-23 16:58:54.996227
281,SBUX,Starbucks,1,4,319,1,2023-07-23 16:58:54.996227
282,PRA,ProAssurance,1,5,325,1,2023-07-23 16:58:54.996227
283,NOBL,ProShares Trust - ProShares S&P 500 Dividend Aristocrats ETF,1,1,0,,2023-07-23 16:58:54.996227
284,AVTR,Avantor,1,1,0,,2023-07-23 16:58:54.996227
285,DGX,Quest Diagnostics,1,1,326,1,2023-07-23 16:58:54.996227
286,TRC,Tejon Ranch,1,0,327,1,2023-07-23 16:58:54.996227
287,CVX,Chevron,1,3,327,1,2023-07-23 16:58:54.996227
288,JOBY,Joby Aviation,1,2,329,1,2023-07-23 16:58:54.996227
289,GFAI,Guardforce AI,1,1,330,1,2023-07-23 16:58:54.996227
290,VWO,"Vanguard Group, Inc. - Vanguard FTSE Emerging Markets ETF",1,1,331,1,2023-07-23 16:58:54.996227
291,MO,Altria Group,1,0,332,1,2023-07-23 16:58:54.996227
292,ABB,ABB,1,9,333,1,2023-07-23 16:58:54.996227
293,CSCO,Cisco,1,3,334,1,2023-07-23 16:58:54.996227
294,PATH,UiPath,1,5,335,1,2023-07-23 16:58:54.996227
295,NG,NovaGold Resources,1,4,0,,2023-07-23 16:58:54.996227
296,URTH,BlackRock Institutional Trust Company N.A. - BTC iShares MSCI World ET,1,2,337,1,2023-07-23 16:58:54.996227
297,EBAY,eBay,1,1,339,1,2023-07-23 16:58:54.996227
298,IJH,BlackRock Institutional Trust Company N.A. - BTC iShares Core S&P Mid-,1,1,0,,2023-07-23 16:58:54.996227
299,APH,Amphenol,1,1,0,,2023-07-23 16:58:54.996227
300,CSV,Carriage Services,1,1,340,,2023-07-23 16:58:54.996227
301,CCL,Carnival Cruise Line,1,2,341,1,2023-07-23 16:58:54.996227
302,RF,Regions Financial,1,2,342,,2023-07-23 16:58:54.996227
303,MOD,Modine Manufacturing,1,7,343,1,2023-07-23 16:58:54.996227
304,BX,Blackstone Group,1,0,260,,2023-07-23 16:58:54.996227
305,PGC,Peapack-Gladstone Financial,1,1,344,1,2023-07-23 16:58:54.996227
306,MU,Micron Technology,1,1,347,1,2023-07-23 16:58:54.996227
307,EWJ,BlackRock Institutional Trust Company N.A. - BTC iShares MSCI Japan ET,1,1,348,1,2023-07-23 16:58:54.996227
308,CMCSA,Comcast,1,523,0,,2023-07-23 16:58:54.996227
309,ADM,Archer Daniels Midland,1,6,349,1,2023-07-23 16:58:54.996227
310,NEXT,NextDecade Corp,1,3,350,1,2023-07-23 16:58:54.996227
311,CCU,Compañía Cervecerías Unidas,1,2,353,1,2023-07-23 16:58:54.996227
312,IEFA,BlackRock Institutional Trust Company N.A. - BTC iShares Core MSCI EAF,1,1,0,,2023-07-23 16:58:54.996227
313,BSX,Boston Scientific,1,1,0,,2023-07-23 16:58:54.996227
314,VIG,"Vanguard Group, Inc. - Vanguard Dividend Appreciation FTF",1,3,354,1,2023-07-23 16:58:54.996227
315,BITF,Bitfarms,1,1,355,1,2023-07-23 16:58:54.996227
316,LULU,lululemon athletica,1,2,123,1,2023-07-23 16:58:54.996227
317,SSYS,Stratasys,1,1,356,1,2023-07-23 16:58:54.996227
318,AVUV,American Century ETF Trust - Avantis U.S. Small Cap Value ETF,1,3,357,1,2023-07-23 16:58:54.996227
319,AIM,AIM ImmunoTech,1,2,358,1,2023-07-23 16:58:54.996227
320,PDBC,Invesco Capital Management LLC - Invesco Optimum Yield Diversified Com,1,18,0,,2023-07-23 16:58:54.996227
321,BOIL,ProShares Trust - ProShares Ultra Bloomberg Natural Gas,1,1,362,,2023-07-23 16:58:54.996227
322,PHUN,Phunware,1,1,0,,2023-07-23 16:58:54.996227
323,AGNC,AGNC Investment,1,3,363,1,2023-07-23 16:58:54.996227
324,RICK,RCI Hospitality Holdings,1,2,364,1,2023-07-23 16:58:54.996227
325,RIOT,Riot Blockchain,1,6,124,2,2023-07-23 16:58:54.996227
326,DKNG,DraftKings,1,419,365,1,2023-07-23 16:58:54.996227
327,DXCM,DexCom,1,1,0,,2023-07-23 16:58:54.996227
328,WF,Woori Financial Group,1,0,366,1,2023-07-23 16:58:54.996227
329,ROKU,Roku,1,2,367,1,2023-07-23 16:58:54.996227
330,SNP,Sinopec,1,1,369,1,2023-07-23 16:58:54.996227
331,WE,WeWork,1,1,55,6,2023-07-23 16:58:54.996227
332,EE,Excelerate Energy,1,2,0,,2023-07-23 16:58:54.996227
333,STRL,Sterling Construction,1,1,370,1,2023-07-23 16:58:54.996227
334,FC,Franklin Covey,1,2,371,,2023-07-23 16:58:54.996227
335,SILJ,ETF Managers Group LLC - ETFMG Prime Junior Silver Miners ETF,1,0,372,1,2023-07-23 16:58:54.996227
